title,genres_list,vote_average,vote_count,director,overview,tags,genres_str
Pride and Glory,"['Thriller', 'Crime', 'Drama']",6.3,240,Gavin O'Connor,"A saga centered on a multi-generational family of New York City Police officers. The family's moral codes are tested when Ray Tierney, investigates a case that reveals an incendiary police corruption scandal involving his own brother-in-law. For Ray, the truth is revelatory, a Pandora's Box that threatens to upend not only the Tierney legacy but the entire NYPD.","thriller crime drama megacity brother-in-law police edwardnorton jonvoight colinfarrell gavino'connor gavino'connor gavino'connor a saga centered on a multi-generational family of new york city police officers. the family's moral codes are tested when ray tierney, investigates a case that reveals an incendiary police corruption scandal involving his own brother-in-law. for ray, the truth is revelatory, a pandora's box that threatens to upend not only the tierney legacy but the entire nypd.","Thriller, Crime, Drama"
The Cave,"['Action', 'Adventure', 'Horror', 'Thriller']",5.1,202,Bruce Hunt,"After a group of biologists discovers a huge network of unexplored caves in Romania and, believing it to be an undisturbed eco-system that has produced a new species, they hire the best American team of underwater cave explorers in the world. While exploring deeper into the underwater caves, a rockslide blocks their exit, and they soon discover a larger carnivorous creature has added them to its food chain.","action adventure horror thriller fall burnedalive violence diver swimwear colehauser eddiecibrian morrischestnut brucehunt brucehunt brucehunt after a group of biologists discovers a huge network of unexplored caves in romania and, believing it to be an undisturbed eco-system that has produced a new species, they hire the best american team of underwater cave explorers in the world. while exploring deeper into the underwater caves, a rockslide blocks their exit, and they soon discover a larger carnivorous creature has added them to its food chain.","Action, Adventure, Horror"
Alex & Emma,"['Comedy', 'Romance']",5.0,68,Rob Reiner,"Writer Alex Sheldon (Luke Wilson) must finish his novel within a month. If he doesn't, he won't get paid. And, if that happens, angry Mafia types to whom he owes money will come looking for him. In order to expedite things, Alex hires typist Emma Dinsmore (Kate Hudson) and begins dictating his novel. The book is about a doomed love affair between a character similar to Alex and a character named Polina Delacroix (Sophie Marceau). But, as Alex falls for Emma, his work takes a different turn.","comedy romance gambling sex casino basedonnovel vandalism lukewilson katehudson sophiemarceau robreiner robreiner robreiner writer alex sheldon (luke wilson) must finish his novel within a month. if he doesn't, he won't get paid. and, if that happens, angry mafia types to whom he owes money will come looking for him. in order to expedite things, alex hires typist emma dinsmore (kate hudson) and begins dictating his novel. the book is about a doomed love affair between a character similar to alex and a character named polina delacroix (sophie marceau). but, as alex falls for emma, his work takes a different turn.","Comedy, Romance"
Wicker Park,"['Drama', 'Mystery', 'Romance', 'Thriller']",6.7,157,Paul McGuigan,"Matthew, a young advertising executive in Chicago, puts his life and a business trip to China on hold when he thinks he sees Lisa, the love of his life who left him without a word two years earlier, walking out of a restaurant one day.","drama mystery romance thriller loveofone'slife leave look-alike intrigue joshhartnett rosebyrne matthewlillard paulmcguigan paulmcguigan paulmcguigan matthew, a young advertising executive in chicago, puts his life and a business trip to china on hold when he thinks he sees lisa, the love of his life who left him without a word two years earlier, walking out of a restaurant one day.","Drama, Mystery, Romance"
Fright Night,"['Horror', 'Comedy']",6.0,603,Craig Gillespie,"A teenager suspects his new neighbour is a vampire. Unable to convince anyone, he tries to enlist the help of a self-proclaimed vampire hunter and magician in this remake of the 1985 comedy-horror classic.","horror comedy sunrise vampire suspicion remake suburbia antonyelchin colinfarrell tonicollette craiggillespie craiggillespie craiggillespie a teenager suspects his new neighbour is a vampire. unable to convince anyone, he tries to enlist the help of a self-proclaimed vampire hunter and magician in this remake of the 1985 comedy-horror classic.","Horror, Comedy"
The New World,"['Drama', 'History', 'Romance']",6.4,330,Terrence Malick,A drama about explorer John Smith and the clash between Native Americans and English settlers in the 17th century.,drama history romance chief colonialism newworld colinfarrell q'oriankakilcher christopherplummer terrencemalick terrencemalick terrencemalick a drama about explorer john smith and the clash between native americans and english settlers in the 17th century.,"Drama, History, Romance"
Wing Commander,"['Action', 'Science Fiction']",4.0,72,Christopher Roberts,"The Hollywood version of the popular video game series ""Wing Commander"". Unlike other video games to feature film transitions, series creator Chris Roberts was heavily involved in the film's creation. This is the story of Christopher Blair and Todd ""Maniac"" Marshall as they arrive at the Tiger Claw and are soon forced to stop a Kilrathi fleet heading towards Earth.","action sciencefiction fight pilot outerspace basedonvideogame spaceopera freddieprinzejr. saffronburrows matthewlillard christopherroberts christopherroberts christopherroberts the hollywood version of the popular video game series ""wing commander"". unlike other video games to feature film transitions, series creator chris roberts was heavily involved in the film's creation. this is the story of christopher blair and todd ""maniac"" marshall as they arrive at the tiger claw and are soon forced to stop a kilrathi fleet heading towards earth.","Action, Science Fiction"
In Dreams,"['Drama', 'Thriller']",5.4,44,Neil Jordan,"Claire Cooper dreams strange things from time to time. One night, she dreams about a little girl being taken away by a stranger...","drama thriller basedonnovel suicideattempt dream kidnapping victimofmurder annettebening aidanquinn stephenrea neiljordan neiljordan neiljordan claire cooper dreams strange things from time to time. one night, she dreams about a little girl being taken away by a stranger...","Drama, Thriller"
Dragonball Evolution,"['Action', 'Adventure', 'Fantasy', 'Science Fiction', 'Thriller']",2.9,462,James Wong,"The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power.","action adventure fantasy sciencefiction thriller karate superhero revenge dragon duringcreditsstinger chowyun-fat justinchatwin joonpark jameswong jameswong jameswong the young warrior son goku sets out on a quest, racing against time and the vengeful king piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power.","Action, Adventure, Fantasy"
The Last Stand,"['Action', 'Crime', 'Thriller']",5.7,1266,Kim Jee-woon,"Ray Owens is sheriff of the quiet US border town of Sommerton Junction after leaving the LAPD following a bungled operation. Following his escape from the FBI, a notorious drug baron, his gang, and a hostage are heading toward Sommerton Junction where the police are preparing to make a last stand to intercept them before they cross the border. Owens is reluctant to become involved but ultimately joins in with the law enforcement efforts","action crime thriller sheriff smalltown hostage prisoner fbi arnoldschwarzenegger forestwhitaker rodrigosantoro kimjee-woon kimjee-woon kimjee-woon ray owens is sheriff of the quiet us border town of sommerton junction after leaving the lapd following a bungled operation. following his escape from the fbi, a notorious drug baron, his gang, and a hostage are heading toward sommerton junction where the police are preparing to make a last stand to intercept them before they cross the border. owens is reluctant to become involved but ultimately joins in with the law enforcement efforts","Action, Crime, Thriller"
Godsend,"['Drama', 'Horror', 'Science Fiction', 'Thriller']",4.7,114,Nick Hamm,"A couple agree to have their deceased son cloned under the supervision of an enigmatic doctor, but bizarre things start to happen years after his rebirth.","drama horror sciencefiction thriller schizophrenia clone lossofson nightmare doctor gregkinnear rebeccaromijn robertdeniro nickhamm nickhamm nickhamm a couple agree to have their deceased son cloned under the supervision of an enigmatic doctor, but bizarre things start to happen years after his rebirth.","Drama, Horror, Science Fiction"
Chasing Liberty,"['Comedy', 'Romance']",6.1,152,Andy Cadiff,"The President's daughter, unable to experience life like a normal 18 year-old, escapes from her entourage of Secret Service agents while traveling in Europe. She falls in love with a handsome British stranger, who also happens to be working undercover for her father.","comedy romance venice berlin usapresident undercover prague mandymoore starksands tonyjayawardena andycadiff andycadiff andycadiff the president's daughter, unable to experience life like a normal 18 year-old, escapes from her entourage of secret service agents while traveling in europe. she falls in love with a handsome british stranger, who also happens to be working undercover for her father.","Comedy, Romance"
Hoodwinked Too! Hood VS. Evil,"['Comedy', 'Animation', 'Family']",4.8,131,Mike Disa,"Red Riding Hood is training in the group of Sister Hoods, when she and the Wolf are called to examine the sudden mysterious disappearance of Hansel and Gretel.","comedy animation family witch wolf littleredridinghood sequel computeranimation haydenpanettiere billhader joancusack mikedisa mikedisa mikedisa red riding hood is training in the group of sister hoods, when she and the wolf are called to examine the sudden mysterious disappearance of hansel and gretel.","Comedy, Animation, Family"
An Unfinished Life,['Drama'],6.7,161,Lasse Hallström,"Stoic and heartbroken, Einar Gilkyson quietly lives in the rugged Wyoming ranchlands alongside his only trusted friend, Mitch Bradley. Then, suddenly, the woman he blames for the death of his only son arrives at his door broke, desperate, and with a granddaughter he's never known. But even as buried anger and accusations resurface, the way is opened for unexpected connection, adventure, and forgiveness.","drama lossofson sheriff wyoming grandfathergranddaughterrelationship violenceagainstwomen robertredford jenniferlopez morganfreeman lassehallström lassehallström lassehallström stoic and heartbroken, einar gilkyson quietly lives in the rugged wyoming ranchlands alongside his only trusted friend, mitch bradley. then, suddenly, the woman he blames for the death of his only son arrives at his door broke, desperate, and with a granddaughter he's never known. but even as buried anger and accusations resurface, the way is opened for unexpected connection, adventure, and forgiveness.",Drama
The Imaginarium of Doctor Parnassus,"['Adventure', 'Fantasy', 'Mystery']",6.3,869,Terry Gilliam,A traveling theater company gives its audience much more than they were expecting.,adventure fantasy mystery circus immortality elderly aftercreditsstinger duringcreditsstinger christopherplummer heathledger johnnydepp terrygilliam terrygilliam terrygilliam a traveling theater company gives its audience much more than they were expecting.,"Adventure, Fantasy, Mystery"
Barney's Version,"['Comedy', 'Drama']",7.2,129,Richard J. Lewis,"The picaresque and touching story of the politically incorrect, fully lived life of the impulsive, irascible and fearlessly blunt Barney Panofsky.","comedy drama suicide jealousy canada independentfilm politicallyincorrect paulgiamatti dustinhoffman rosamundpike richardj.lewis richardj.lewis richardj.lewis the picaresque and touching story of the politically incorrect, fully lived life of the impulsive, irascible and fearlessly blunt barney panofsky.","Comedy, Drama"
Runner Runner,"['Crime', 'Thriller', 'Drama']",5.5,543,Brad Furman,"When a poor college student who cracks an online poker game goes bust, he arranges a face-to-face with the man he thinks cheated him, a sly offshore entrepreneur.","crime thriller drama gambling casino gamblingdebts dirtycop puertorico benaffleck gemmaarterton justintimberlake bradfurman bradfurman bradfurman when a poor college student who cracks an online poker game goes bust, he arranges a face-to-face with the man he thinks cheated him, a sly offshore entrepreneur.","Crime, Thriller, Drama"
Antitrust,"['Action', 'Crime', 'Drama']",5.8,153,Peter Howitt,A computer programmer's dream job at a hot Portland-based firm turns nightmarish when he discovers his boss has a secret and ruthless means of dispatching anti-trust problems.,action crime drama technology garage hacker malefriendship microchip ryanphillippe rachaelleighcook timrobbins peterhowitt peterhowitt peterhowitt a computer programmer's dream job at a hot portland-based firm turns nightmarish when he discovers his boss has a secret and ruthless means of dispatching anti-trust problems.,"Action, Crime, Drama"
Glory,['War'],7.4,383,Edward Zwick,"Robert Gould Shaw leads the US Civil War's first all-black volunteer company, fighting prejudices of both his own Union army and the Confederates.","war war racism battle unionsoldier confederatesoldier matthewbroderick denzelwashington caryelwes edwardzwick edwardzwick edwardzwick robert gould shaw leads the us civil war's first all-black volunteer company, fighting prejudices of both his own union army and the confederates.",War
Once Upon a Time in America,"['Drama', 'Crime']",8.2,1069,Sergio Leone,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.","drama crime lifeanddeath corruption streetgang rape sadistic robertdeniro jameswoods elizabethmcgovern sergioleone sergioleone sergioleone a former prohibition-era jewish gangster returns to the lower east side of manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.","Drama, Crime"
Dead Man Down,"['Thriller', 'Action', 'Crime', 'Drama']",5.9,638,Niels Arden Oplev,"In New York City, a crime lord's right-hand man is seduced by a woman seeking retribution.","thriller action crime drama revenge newyorkcity mysteriouswoman crimelord colinfarrell noomirapace terrencehoward nielsardenoplev nielsardenoplev nielsardenoplev in new york city, a crime lord's right-hand man is seduced by a woman seeking retribution.","Thriller, Action, Crime"
The Merchant of Venice,"['Drama', 'Romance']",6.7,144,Michael Radford,"In 16th century Venice, when a merchant must default on a large loan from an abused Jewish moneylender for a friend with romantic ambitions, the bitterly vengeful creditor demands a gruesome payment instead.","drama romance venice shakespeare jew ship salesperson alpacino jeremyirons josephfiennes michaelradford michaelradford michaelradford in 16th century venice, when a merchant must default on a large loan from an abused jewish moneylender for a friend with romantic ambitions, the bitterly vengeful creditor demands a gruesome payment instead.","Drama, Romance"
The Good Thief,"['Crime', 'Drama', 'Thriller']",6.0,31,Neil Jordan,A compulsive gambler plans the heist of his life - a priceless collection of art from the world-class Casino Riviera in Monte Carlo.,crime drama thriller casino montecarlo painting caper independentfilm nicknolte tchékykaryo nutsakukhianidze neiljordan neiljordan neiljordan a compulsive gambler plans the heist of his life - a priceless collection of art from the world-class casino riviera in monte carlo.,"Crime, Drama, Thriller"
Supercross,"['Action', 'Adventure', 'Drama', 'Romance']",5.4,29,Steve Boyum,"Faced with the suspicious death of their father, two brothers must motivate one another to get back on their bikes and take the Las Vegas Motocross Championships by storm.","action adventure drama romance sport stevehowey mikevogel cameronrichardson steveboyum steveboyum steveboyum faced with the suspicious death of their father, two brothers must motivate one another to get back on their bikes and take the las vegas motocross championships by storm.","Action, Adventure, Drama"
Miss Potter,"['Drama', 'Family', 'Romance']",6.3,141,Chris Noonan,"The story of Beatrix Potter, the author of the beloved and best-selling children's book, ""The Tale of Peter Rabbit"", and her struggle for love, happiness and success.","drama family romance lossoflover mountainlake author rabbit ewanmcgregor renéezellweger emilywatson chrisnoonan chrisnoonan chrisnoonan the story of beatrix potter, the author of the beloved and best-selling children's book, ""the tale of peter rabbit"", and her struggle for love, happiness and success.","Drama, Family, Romance"
The Promise,"['Fantasy', 'Drama', 'Action', 'Thriller', 'Romance']",5.0,29,Chen Kaige,"An orphaned girl, driven by poverty at such a young age, makes a promise with an enchantress. In return for beauty and the admiration of every man, she will never be with the man she loves. This spell cannot be broken unless the impossible happens: snow falling in spring and the dead coming back to life. Now a grown and beautiful princess, she regrets her promise, for all of the men she's loved has always been met with tragedy. In love again with a man behind a red armor and a golden mask who rescues her from death, she is tormented by their inevitable parting. Meanwhile, Kunlun, the slave of a great general, is searching for the lost memories of a family he once had. Soon the fate of these two intertwine when the princess believes the general to be her hero, thus pulling him into this web of fate. What end will befallen our three characters? Are their fates already sealed by a higher power, or can they still choose a life they want?","fantasy drama action thriller romance servant emperor battleassignment ceciliacheung liuye hongchen chenkaige chenkaige chenkaige an orphaned girl, driven by poverty at such a young age, makes a promise with an enchantress. in return for beauty and the admiration of every man, she will never be with the man she loves. this spell cannot be broken unless the impossible happens: snow falling in spring and the dead coming back to life. now a grown and beautiful princess, she regrets her promise, for all of the men she's loved has always been met with tragedy. in love again with a man behind a red armor and a golden mask who rescues her from death, she is tormented by their inevitable parting. meanwhile, kunlun, the slave of a great general, is searching for the lost memories of a family he once had. soon the fate of these two intertwine when the princess believes the general to be her hero, thus pulling him into this web of fate. what end will befallen our three characters? are their fates already sealed by a higher power, or can they still choose a life they want?","Fantasy, Drama, Action"
DOA: Dead or Alive,"['Adventure', 'Action', 'Thriller']",5.0,205,Corey Yuen Kwai,Four beautiful rivals at an invitation-only martial-arts tournament join forces against a sinister threat. Princess Kasumi is an aristocratic warrior trained by martial-arts masters. Tina Armstrong is a wrestling superstar. Helena Douglas is an athlete with a tragic past. Christie Allen earns her keep as a thief and an assassin-for-hire.,adventure action thriller competition martialarts kungfu assassin fight jaimepressly devonaoki hollyvalance coreyyuenkwai coreyyuenkwai coreyyuenkwai four beautiful rivals at an invitation-only martial-arts tournament join forces against a sinister threat. princess kasumi is an aristocratic warrior trained by martial-arts masters. tina armstrong is a wrestling superstar. helena douglas is an athlete with a tragic past. christie allen earns her keep as a thief and an assassin-for-hire.,"Adventure, Action, Thriller"
The Assassination of Jesse James by the Coward Robert Ford,"['Action', 'Drama', 'Western']",7.0,776,Andrew Dominik,"Outlaw Jesse James is rumored be the 'fastest gun in the West'. An eager recruit into James' notorious gang, Robert Ford eventually grows jealous of the famed outlaw and, when Robert and his brother sense an opportunity to kill James, their murderous action elevates their target to near mythical status.","action drama western killing admiration hold-uprobbery toshootdead idol bradpitt caseyaffleck samshepard andrewdominik andrewdominik andrewdominik outlaw jesse james is rumored be the 'fastest gun in the west'. an eager recruit into james' notorious gang, robert ford eventually grows jealous of the famed outlaw and, when robert and his brother sense an opportunity to kill james, their murderous action elevates their target to near mythical status.","Action, Drama, Western"
1911,"['Adventure', 'Drama', 'Action', 'History', 'War']",5.0,41,Jackie Chan,"At the beginning of the 20th century, China is in a state of crisis. The country is split into warring factions, the citizens are starving, and recent political reforms have made matters worse, not better. The ruling Qing Dynasty, led by a seven-year-old emperor, and his ruthless mother, Empress Dowager Longyu is completely out of touch after 250 years of unquestioned power. Huang Xing has recently returned from Japan, where he has studied the art of modern warfare. When he finds his country falling apart, he feels he has no choice but to pick up the sword.","adventure drama action history war martialarts sword revolution blood gunfight jackiechan libingbing joanchen jackiechan jackiechan jackiechan at the beginning of the 20th century, china is in a state of crisis. the country is split into warring factions, the citizens are starving, and recent political reforms have made matters worse, not better. the ruling qing dynasty, led by a seven-year-old emperor, and his ruthless mother, empress dowager longyu is completely out of touch after 250 years of unquestioned power. huang xing has recently returned from japan, where he has studied the art of modern warfare. when he finds his country falling apart, he feels he has no choice but to pick up the sword.","Adventure, Drama, Action"
Little Nicholas,['Comedy'],5.9,306,Laurent Tirard,"Nicolas has a happy existence, parents who love him, a great group of friends with whom he has great fun, and all he wants is that nothing to changes... However, one day, he overhears a conversation that leads him to believe that his life might change forever, his mother is pregnant!. He panics and envisions the worst: soon a little brother will...","comedy maximegodart valérielemercier kadmerad laurenttirard laurenttirard laurenttirard nicolas has a happy existence, parents who love him, a great group of friends with whom he has great fun, and all he wants is that nothing to changes... however, one day, he overhears a conversation that leads him to believe that his life might change forever, his mother is pregnant!. he panics and envisions the worst: soon a little brother will...",Comedy
Wild Card,"['Thriller', 'Crime', 'Drama']",5.4,656,Simon West,"When a Las Vegas bodyguard with lethal skills and a gambling problem gets in trouble with the mob, he has one last play… and it's all or nothing.","thriller crime drama gambling bodyguard remake jasonstatham michaelangarano miloventimiglia simonwest simonwest simonwest when a las vegas bodyguard with lethal skills and a gambling problem gets in trouble with the mob, he has one last play… and it's all or nothing.","Thriller, Crime, Drama"
Machine Gun Preacher,"['Action', 'Thriller', 'Crime']",6.4,286,Marc Forster,"The true story of Sam Childers, a former drug-dealing biker who finds God and became a crusader for hundreds of Sudanese children who've been kidnapped and pressed into duty as soldiers.","action thriller crime underagesoldier duringcreditsstinger gerardbutler michellemonaghan kathybaker marcforster marcforster marcforster the true story of sam childers, a former drug-dealing biker who finds god and became a crusader for hundreds of sudanese children who've been kidnapped and pressed into duty as soldiers.","Action, Thriller, Crime"
Animals United,"['Animation', 'Family', 'Comedy']",5.5,90,Reinhard Klooss,"A group of animals waiting for the annual flood they rely on for food and water discover that the humans, who have been destroying their habitats have built a dam for a leisure resort. The animals endeavour to save the delta and send a message to the humans not to interfere with nature.","animation family comedy dam shark animal hooverdam cranethebird christophmariaherbst ralfschmitz thomasfritsch reinhardklooss reinhardklooss reinhardklooss a group of animals waiting for the annual flood they rely on for food and water discover that the humans, who have been destroying their habitats have built a dam for a leisure resort. the animals endeavour to save the delta and send a message to the humans not to interfere with nature.","Animation, Family, Comedy"
Goodbye Bafana,"['History', 'Drama']",7.0,38,Bille August,The true story of a white South African racist whose life was profoundly altered by the black prisoner he guarded for twenty years. The prisoner's name was Nelson Mandela.,history drama jailguard prisoncell southafrica apartheid nelsonmandela josephfiennes dennishaysbert dianekruger billeaugust billeaugust billeaugust the true story of a white south african racist whose life was profoundly altered by the black prisoner he guarded for twenty years. the prisoner's name was nelson mandela.,"History, Drama"
United Passions,['Drama'],3.0,16,Frédéric Auburtin,"An epic, untold story that brings to life the inspiring saga of the World Cup and the three determined men who created it. Driven by their vision and passion, three men, overcame their doubts and fought obstacles and scandals to make the World Cup a reality. Spanning the tumultuous 20th Century, this timeless saga celebrates the event that became the most popular sporting event in the world.","drama soccer timroth samneill thomaskretschmann frédéricauburtin frédéricauburtin frédéricauburtin an epic, untold story that brings to life the inspiring saga of the world cup and the three determined men who created it. driven by their vision and passion, three men, overcame their doubts and fought obstacles and scandals to make the world cup a reality. spanning the tumultuous 20th century, this timeless saga celebrates the event that became the most popular sporting event in the world.",Drama
Grace of Monaco,"['Romance', 'Drama']",5.8,195,Olivier Dahan,"The story of former Hollywood star Grace Kelly's crisis of marriage and identity, during a political dispute between Monaco's Prince Rainier III and France's Charles De Gaulle, and a looming French invasion of Monaco in the early 1960s.","romance drama monaco prince nicolekidman miloventimiglia pazvega olivierdahan olivierdahan olivierdahan the story of former hollywood star grace kelly's crisis of marriage and identity, during a political dispute between monaco's prince rainier iii and france's charles de gaulle, and a looming french invasion of monaco in the early 1960s.","Romance, Drama"
Savva. Heart of the Warrior,"['Fantasy', 'Adventure', 'Animation']",6.4,7,Maksim Fadeev,A fairytale about a grand life journey of a 10-year old boy Savva devoted to help his Mom and fellow village people to break free from the vicious hyenas.,fantasy adventure animation village creature battle monkey hyena maksimchukharyov konstantinkhabenskiy mikhailgalustyan maksimfadeev maksimfadeev maksimfadeev a fairytale about a grand life journey of a 10-year old boy savva devoted to help his mom and fellow village people to break free from the vicious hyenas.,"Fantasy, Adventure, Animation"
Ripley's Game,"['Crime', 'Thriller']",6.6,69,Liliana Cavani,"Tom Ripley - cool, urbane, wealthy, and murderous - lives in a villa in the Veneto with Luisa, his harpsichord-playing girlfriend. A former business associate from Berlin's underworld pays a call asking Ripley's help in killing a rival. Ripley - ever a student of human nature - initiates a game to turn a mild and innocent local picture framer into a hit man. The artisan, Jonathan Trevanny, who's dying of cancer, has a wife, young son, and little to leave them. If Ripley draws Jonathan into the game, can Ripley maintain control? Does it stop at one killing? What if Ripley develops a conscience?","crime thriller berlin malenudity villa milan hitman johnmalkovich raywinstone uwemansshardt lilianacavani lilianacavani lilianacavani tom ripley - cool, urbane, wealthy, and murderous - lives in a villa in the veneto with luisa, his harpsichord-playing girlfriend. a former business associate from berlin's underworld pays a call asking ripley's help in killing a rival. ripley - ever a student of human nature - initiates a game to turn a mild and innocent local picture framer into a hit man. the artisan, jonathan trevanny, who's dying of cancer, has a wife, young son, and little to leave them. if ripley draws jonathan into the game, can ripley maintain control? does it stop at one killing? what if ripley develops a conscience?","Crime, Thriller"
Sausage Party,"['Adventure', 'Animation', 'Comedy', 'Fantasy']",5.6,2238,Conrad Vernon,"Sausage Party, the first R-rated CG animated movie, is about one sausage leading a group of supermarket products on a quest to discover the truth about their existence and what really happens when they become chosen to leave the grocery store.","adventure animation comedy fantasy supermarket party sausage food anthropomorphism sethrogen kristenwiig jonahhill conradvernon conradvernon conradvernon sausage party, the first r-rated cg animated movie, is about one sausage leading a group of supermarket products on a quest to discover the truth about their existence and what really happens when they become chosen to leave the grocery store.","Adventure, Animation, Comedy"
Pitch Perfect 2,"['Comedy', 'Music']",6.8,1940,Elizabeth Banks,"The Bellas are back, and they are better than ever. After being humiliated in front of none other than the President of the United States of America, the Bellas are taken out of the Aca-Circuit. In order to clear their name, and regain their status, the Bellas take on a seemingly impossible task: winning an international competition no American team has ever won. In order to accomplish this monumental task, they need to strengthen the bonds of friendship and sisterhood and blow away the competition with their amazing aca-magic! With all new friends and old rivals tagging along for the trip, the Bellas can hopefully accomplish their dreams.","comedy music music sequel singer malefemalerelationship audition annakendrick rebelwilson haileesteinfeld elizabethbanks elizabethbanks elizabethbanks the bellas are back, and they are better than ever. after being humiliated in front of none other than the president of the united states of america, the bellas are taken out of the aca-circuit. in order to clear their name, and regain their status, the bellas take on a seemingly impossible task: winning an international competition no american team has ever won. in order to accomplish this monumental task, they need to strengthen the bonds of friendship and sisterhood and blow away the competition with their amazing aca-magic! with all new friends and old rivals tagging along for the trip, the bellas can hopefully accomplish their dreams.","Comedy, Music"
Walk the Line,"['Drama', 'Music', 'Romance']",7.3,718,James Mangold,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins.","drama music romance germany prison musicrecord adultery countrymusic joaquinphoenix reesewitherspoon ginnifergoodwin jamesmangold jamesmangold jamesmangold a chronicle of country music legend johnny cash's life, from his early days on an arkansas cotton farm to his rise to fame with sun records in memphis, where he recorded alongside elvis presley, jerry lee lewis and carl perkins.","Drama, Music, Romance"
Keeping the Faith,['Comedy'],5.9,159,Edward Norton,"Best friends since they were kids, Rabbi Jacob Schram and Father Brian Finn are dynamic and popular young men living and working on New York's Upper West Side. When Anna Reilly, once their childhood friend and now grown into a beautiful corporate executive, suddenly returns to the city, she reenters Jake and Brian's lives and hearts with a vengeance. Sparks fly and an unusual and complicated love triangle ensues.","comedy lovetriangle rabbi priest catholicism benstiller edwardnorton jennaelfman edwardnorton edwardnorton edwardnorton best friends since they were kids, rabbi jacob schram and father brian finn are dynamic and popular young men living and working on new york's upper west side. when anna reilly, once their childhood friend and now grown into a beautiful corporate executive, suddenly returns to the city, she reenters jake and brian's lives and hearts with a vengeance. sparks fly and an unusual and complicated love triangle ensues.",Comedy
The Borrowers,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Family']",5.8,135,Peter Hewitt,"The four-inch-tall Clock family secretly share a house with the normal-sized Lender family, ""borrowing"" such items as thread, safety pins, batteries and scraps of food. However, their peaceful co-existence is disturbed when evil lawyer Ocious P. Potter steals the will granting title to the house, which he plans to demolish in order to build apartments. The Lenders are forced to move, and the Clocks face the risk of being exposed to the normal-sized world.","adventure fantasy action comedy family dwarves household lawyer littlepeople child'spointofview johngoodman jimbroadbent celiaimrie peterhewitt peterhewitt peterhewitt the four-inch-tall clock family secretly share a house with the normal-sized lender family, ""borrowing"" such items as thread, safety pins, batteries and scraps of food. however, their peaceful co-existence is disturbed when evil lawyer ocious p. potter steals the will granting title to the house, which he plans to demolish in order to build apartments. the lenders are forced to move, and the clocks face the risk of being exposed to the normal-sized world.","Adventure, Fantasy, Action"
Frost/Nixon,"['Drama', 'History']",7.2,328,Ron Howard,"For three years after being forced from office, Nixon remained silent. But in summer 1977, the steely, cunning former commander-in-chief agreed to sit for one all-inclusive interview to confront the questions of his time in office and the Watergate scandal that ended his presidency. Nixon surprised everyone in selecting Frost as his televised confessor, intending to easily outfox the breezy British showman and secure a place in the hearts and minds of Americans. Likewise, Frost's team harboured doubts about their boss's ability to hold his own. But as the cameras rolled, a charged battle of wits resulted.","drama history camera lie scandal watergatescandal richardnixon michaelsheen franklangella kevinbacon ronhoward ronhoward ronhoward for three years after being forced from office, nixon remained silent. but in summer 1977, the steely, cunning former commander-in-chief agreed to sit for one all-inclusive interview to confront the questions of his time in office and the watergate scandal that ended his presidency. nixon surprised everyone in selecting frost as his televised confessor, intending to easily outfox the breezy british showman and secure a place in the hearts and minds of americans. likewise, frost's team harboured doubts about their boss's ability to hold his own. but as the cameras rolled, a charged battle of wits resulted.","Drama, History"
Confessions of a Dangerous Mind,"['Comedy', 'Crime', 'Drama', 'Romance', 'Thriller']",6.6,275,George Clooney,"Television made him famous, but his biggest hits happened off screen. Television producer by day, CIA assassin by night, Chuck Barris was recruited by the CIA at the height of his TV career and trained to become a covert operative. Or so Barris said.","comedy crime drama romance thriller microfilm biography silencer intrigue samrockwell drewbarrymore juliaroberts georgeclooney georgeclooney georgeclooney television made him famous, but his biggest hits happened off screen. television producer by day, cia assassin by night, chuck barris was recruited by the cia at the height of his tv career and trained to become a covert operative. or so barris said.","Comedy, Crime, Drama"
Serving Sara,"['Comedy', 'Romance']",5.0,85,Reginald Hudlin,"Serving Sara is a 2002 romantic comedy film which stars Matthew Perry, Elizabeth Hurley and Bruce Campbell. Joe Tyler (Perry) is a process server who is given the assignment to serve Sara Moore (Hurley) with divorce papers.","comedy romance wealth fallinginlove divorce prettywoman winery matthewperry elizabethhurley vincentpastore reginaldhudlin reginaldhudlin reginaldhudlin serving sara is a 2002 romantic comedy film which stars matthew perry, elizabeth hurley and bruce campbell. joe tyler (perry) is a process server who is given the assignment to serve sara moore (hurley) with divorce papers.","Comedy, Romance"
